uf,cargo,nome_citado,partido_citado,id_tse,slug,nome_urna,status,motivo,natureza,medida,posicao,percentual,instituto,contratante,registro_tse,campo_inicio,campo_fim,entrevistas,margem,confianca,coleta,tipo,fonte,fonte_url,data_acesso
RJ,depfed,Marcelo Freixo,PT,190002543092,,FREIXO,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""FREIXO""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Renan Ferreirinha,PSD,190002540157,,RENAN FERREIRINHA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Renato Araújo,PL,190002532803,,RENATO ARAÚJO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Ricardo Abrão,PSDB,190002550483,,RICARDO ABRÃO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Rosângela Gomes,REPUBLICANOS,190002543347,,ROSANGELA GOMES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Sóstenes Cavalcante,PL,190002532795,,SÓSTENES CAVALCANTE,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Wellington Braga,AVANTE,,,,nao_registrado,"citado na pesquisa, mas sem candidatura registrada no RJ (o campo foi em julho, antes do registro)",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Wladimir Garotinho,PL,190002532805,,WLADIMIR GAROTINHO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Ana Paula Mendes,PSD,190002538053,,ANA PAULA MENDES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,André Ceciliano,PT,190002543309,,ANDRÉ CECILIANO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,André Corrêa,PSD,190002538043,,ANDRÉ CORREA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Átila Nunes,PSD,190002538039,,ÁTILA NUNES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Bruno Boareto,PL,,,,nao_registrado,"citado na pesquisa, mas sem candidatura registrada no RJ (o campo foi em julho, antes do registro)",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
