uf,slug,nome_urna,nome_completo,verbete,pontuacao,trecho,status
SP,sp-dep-est-telhadinha-capitao-telhada,TELHADINHA - CAPITÃO TELHADA,RAFAEL HENRIQUE CANO TELHADA,Capitão Telhada,12,"Rafael Henrique Cano Telhada (São Paulo, 03 de setembro de 1986), mais conhecido como Capitão Telhada ou Telhadinha, é um policial militar da reserva da Polícia Militar do Estado de São Paulo e políti",aceito
SP,sp-dep-est-thiago-auricchio,THIAGO AURICCHIO,THIAGO REIS AURICCHIO,Thiago Auricchio,12,"Thiago Reis Auricchio (São Caetano do Sul, 23 de abril de 1993), é um advogado e político brasileiro filiado ao Partido Liberal (PL), atual deputado estadual de São Paulo, eleito nas eleições estaduai",aceito
SP,sp-dep-est-valeria-bolsonaro,VALERIA BOLSONARO,VALERIA MULLER RAMOS BOLSONARO,Valéria Bolsonaro,12,"Valeria Muller Ramos Bolsonaro (Santos, 16 de setembro de 1969), mais conhecida como Valéria Bolsonaro, é uma bióloga, professora e política brasileira, filiada ao Partido Liberal (PL).",aceito
SP,sp-dep-est-marcelo-bolsonaro,MARCELO BOLSONARO,MARCELO BOLSONARO,,2,"Marcelo Henrique Teixeira Dias, mais conhecido como Marcelo Álvaro Antônio (Belo Horizonte, 16 de fevereiro de 1974), é um empresário e político brasileiro filiado ao Partido Liberal (PL). Atualmente ",sem verbete localizado
SP,sp-dep-est-paulo-kogos,PAULO KOGOS,PAULO HUGENNEYER KOGOS,Paulo Kogos,12,"Paulo Hugenneyer Kogos (São Paulo, 20 de maio de 1986) é um youtuber, influenciador digital, economista, empresário e político brasileiro filiado ao Partido Liberal (PL). É conhecido por ser ativista ",aceito
SP,sp-dep-fed-baleia-rossi,BALEIA ROSSI,LUIZ FELIPE BALEIA TENUTO ROSSI,Baleia Rossi,12,"Luiz Felipe Baleia Tenuto Rossi, mais conhecido como Baleia Rossi (São Paulo, 9 de junho de 1972), é um político e empresário brasileiro. Filiado ao Movimento Democrático Brasileiro (MDB), exerce seu ",aceito
SP,sp-dep-fed-erika-hilton,ERIKA HILTON,ERIKA HILTON,Erika Hilton,12,"Erika Santos Silva (Franco da Rocha, 9 de dezembro de 1992), mais conhecida como Erika Hilton, é uma política, ativista e modelo brasileira. Identifica-se como mulher trans e travesti. É filiada ao Pa",aceito
SP,sp-dep-fed-kim-kataguiri,KIM KATAGUIRI,KIM PATROCA KATAGUIRI,Kim Kataguiri,12,"Kim Patroca Kataguiri (Salto, 28 de janeiro de 1996) é um político, ativista e youtuber nipo-brasileiro, filiado ao Partido Missão (MISSÃO). Ficou conhecido por ter sido um dos cofundadores e coordena",aceito
SP,sp-dep-fed-pastor-marco-feliciano,PASTOR MARCO FELICIANO,MARCO ANTONIO FELICIANO,,4,"Marco Antônio Feliciano GCRB (Orlândia, 12 de outubro de 1972) é um pastor evangélico, fundador e líder da Catedral do Avivamento, uma igreja pentecostal ligada à Assembleia de Deus, e político brasil",sem verbete localizado
SP,sp-dep-fed-renata-abreu,RENATA ABREU,RENATA HELLMEISTER DE ABREU MELO,Renata Abreu,12,"Renata Hellmeister de Abreu Melo (São Paulo, 15 de abril de 1982) é uma administradora de empresas, advogada e política brasileira. É presidente nacional do Podemos (PODE) e deputada federal por São P",aceito
