uf,cargo,turno,instituto,contratante,data_ref,data_divulgacao,campo_inicio,campo_fim,amostra,margem_erro,metodologia,registro_tse,cenario,principal,candidato,partido,slug,percentual,fonte,url,revid
RS,governador,2,Veritá,,2026-07-11,,2026-07-07,2026-07-11,2002,2.5,,,Luciano Zucco × Juliana Brizola,1,Luciano Zucco,PL,rs-gov-zucco,41.5,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Veritá,,2026-07-11,,2026-07-07,2026-07-11,2002,2.5,,,Luciano Zucco × Juliana Brizola,1,Juliana Brizola,PDT,rs-gov-juliana-brizola,31.6,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Quaest,Genial,2026-07-28,,2026-07-24,2026-07-28,1104,3.0,,,Luciano Zucco × Juliana Brizola,1,Juliana Brizola,PDT,rs-gov-juliana-brizola,35.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Quaest,Genial,2026-07-28,,2026-07-24,2026-07-28,1104,3.0,,,Luciano Zucco × Juliana Brizola,1,Luciano Zucco,PL,rs-gov-zucco,31.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Quaest,Genial,2026-08-23,,2026-08-20,2026-08-23,900,3.0,,,Luciano Zucco × Juliana Brizola,1,Juliana Brizola,PDT,rs-gov-juliana-brizola,36.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Quaest,Genial,2026-08-23,,2026-08-20,2026-08-23,900,3.0,,,Luciano Zucco × Juliana Brizola,1,Luciano Zucco,PL,rs-gov-zucco,33.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Real Time Big Data,,2026-08-24,,2026-08-20,2026-08-24,1600,2.0,,,Luciano Zucco × Juliana Brizola,1,Juliana Brizola,PDT,rs-gov-juliana-brizola,45.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,governador,2,Real Time Big Data,,2026-08-24,,2026-08-20,2026-08-24,1600,2.0,,,Luciano Zucco × Juliana Brizola,1,Luciano Zucco,PL,rs-gov-zucco,41.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Brasmarket,,2025-10-31,,2025-10-27,2025-10-31,2000,2.2,,,1,1,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,45.8,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Brasmarket,,2025-10-31,,2025-10-27,2025-10-31,2000,2.2,,,1,1,Eduardo Leite,PSD,,42.1,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Brasmarket,,2025-10-31,,2025-10-27,2025-10-31,2000,2.2,,,1,1,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,18.1,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Brasmarket,,2025-10-31,,2025-10-27,2025-10-31,2000,2.2,,,1,1,Ubiratan Sanderson,PL,rs-sen-sanderson,16.5,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Brasmarket,,2025-10-31,,2025-10-27,2025-10-31,2000,2.2,,,1,1,Paulo Pimenta,PT,rs-sen-pimenta,12.6,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,1,1,Eduardo Leite,PSD,,46.4,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,1,1,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,41.2,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,1,1,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,36.6,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,1,1,Paulo Pimenta,PT,rs-sen-pimenta,18.1,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,1,1,Ubiratan Sanderson,PL,rs-sen-sanderson,11.3,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,2,0,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,49.1,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,2,0,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,41.9,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,2,0,Paulo Pimenta,PT,rs-sen-pimenta,24.2,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
